IRI	Label	Issue
http://purl.obolibrary.org/obo/NCRO_0004006	is_about_grouped_mirna	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004007	is_about_mirna	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004008	is_about_mirna_target_gene	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004009	is_classified_into_gene_family_group	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004010	is_gene_template_of_mrna	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004011	is_model_of_disease	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004012	is_predicted_target_of	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004013	mirna_expressed_in_tissue	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004014	regulate_mirna_transcription	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004015	regulate_mrna_translation	not an RO property
http://purl.obolibrary.org/obo/NCRO_0004016	has_predicted_target	not an RO property
